38,2,5,D,D01,PT. CIPUTRA INDAH,NULL,1,SYSTEM,NULL,NULL,NULL,Jonggol,NULL,NULL,NULL,"Mandiri:1220099055322,BCA:1983030801",NULL,NULL,NULL,NULL
39,2,5,D,D02,PT. MITRAKUSUMA ERASEMESTA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"BCA:1980300001,MANDIRI:1220007771598",NULL,NULL,NULL,NULL
46,2,8,G,G01,PT. CIPUTRA SURYA - KP,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,2,8,G,G02,PT. APTACITRA SURYA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,2,8,G,G03,PT. BUMIINDAH PERMAITERANG,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,2,8,G,G04,PT. TAMANCITRA SURYAHIJAU,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,2,8,G,G05,PT. SUBURHIJAU JAYAMAKMUR,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,2,8,G,G06,PT. CAHAYAHIJAU TAMANINDAH,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,2,8,G,G07,PT. GALAXY ALAMSEMESTA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,2,8,G,G08,PT. GALAXY CITRAPERDANA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,2,8,G,G09,PT. CITRA BAHAGIA ELOK,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,2,8,G,G12,PT. CIPUTRA ELOK MITRA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,2,9,H,H01,PT. CIPUTRA SPIRIT,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,2,9,H,H02,PT. SAPTAMULIA HIJAUBANGUN,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,2,9,H,H03,PT. INTILOKAHITA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,2,9,H,H04,PT. KARYAPRIMA HIJAUSELARAS,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,2,10,I,I01,PT. SINAR BAHANA MULYA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,2,9,I,I02,PT. CIPTAULUNG ARTAJAYA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,2,24,S,S01,PT. WIN WIN REALTY,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1091,2,33,X,L01,PT. UAT Company,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2088,2,2013,CGL,ABP,PT. Asendabangun Persada,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2092,2,30,CBC,CBC,JO CIPUTRA KARYA PANCASAKTI NUGRAHA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2095,2,2075,x,XXX,PT. Kosong,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2096,2,2075,x,XXX,PT. Mitra Makmur Bagya,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2097,2,2075,x,XXX,PT. Ciputra Nugraha International,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2098,2,2076,x,XXX,PT. Kosong,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2099,2,2076,I,I15,PT. PANASIA GRIYA MEKARASRI,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2100,2,35,x,XXX,PT. Central International Property,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2101,2,48,XXX,XXX,JO CITRALAND PALU,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3122,2,30,XXX,X01,PT. CIPUTRA INTERNASIONAL MDN,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3124,2,30,XXX,X02,PT.CIPUTRA INTERNASIONAL ESC,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3125,2,30,XXX,X03,PT.CIPUTRA INTERNASIONAL DK,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3126,2,30,XXX,X04,PT.CIPUTRA BANGUN SELARAS,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3139,2,30,XXX,X05,JO CIPUTRA KARYA PANCASAKTI NUGRAHA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3140,2,30,XXX,X07,PT.CIPUTRA KPSN,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3141,2,4032,XXX,XXX,PT. Panasia Griya Mekarasri,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3142,2,5,XXX,XXX,PT. ANEKAINDAH MITRAPERKASA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BNI 2423423,NULL,NULL,NULL,NULL
3150,2,3032,XXX,XXX,PT CIPUTRA INTERNASIONAL MANADO,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3152,2,2077,XXX,XXX,PT Citra Grand Khatulistiwa,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3157,2,3030,XXX,XXX,CIPUTRA INTERNATIONAL,,1,SYSTEM,NULL,,NULL,,,NULL,,,NULL,NULL,NULL,NULL
3159,2,3030,XXX,XXX,PT Ciputra Nusantara,,1,SYSTEM,NULL,,NULL,,,NULL,,,NULL,NULL,NULL,NULL
3160,2,3030,XXX,XXX,PT Cipglobal megahkarya,,1,SYSTEM,NULL,,NULL,,,NULL,,,NULL,NULL,NULL,NULL
3161,2,3030,XXX,XXX,PT Ciputra Internasional,,1,SYSTEM,NULL,,NULL,,,NULL,,,NULL,NULL,NULL,NULL
3162,2,3030,XXX,XXX,Ciputra Yasmin,,1,SYSTEM,NULL,,NULL,,,NULL,,,NULL,NULL,NULL,NULL
3163,2,3030,XXX,XXX,PT Citra Tirta Surabaya,,1,SYSTEM,NULL,,NULL,,,NULL,,,NULL,NULL,NULL,NULL
3167,2,3028,XXX,XXX,JO CIPUTRA YASMIN BUMI ASRI,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3168,2,3031,XXX,XXX,CIPUTRA TALLASA JO,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3172,2,31,XXX,XXX,PT. CIPUTRA SYMPHONY,,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3173,2,32,XXX,XXX,PT. CIPUTRA ABADI KARYA,,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3190,2,42,XXX,XXXX,PT. CAHAYA FAJAR ABADITAMA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3192,2,105,XXX,XXX,JO Ciputra Mutiara Cemerlang Abadi,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3193,2,50,XXX,XXX,PT. CIPUTRA INTERNASIONAL,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3194,2,38,XXX,XXX,JO CIPUTRA KARYA UTAMA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3195,2,44,XXX,XXX,PT. CIPUTRA DEVELOPMENT TBK.,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3196,2,36,XXX,XXX,JO Ciputra Sunindo Property,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3197,2,47,XXX,XXX,PT. CIPUTRA ABDI PERSADA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3198,2,2079,PLG,ACK,PT ARDAYA CIPTA KARSA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3199,2,38,XXX,XXX,PT. Ciputra Inti Pratama,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3200,2,38,XXX,XXX,PT. Karya Utama Bumi,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3201,2,61,XXX,XXX,JO. Ciputra Graha Terasama,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3202,2,37,XXX,XXX,JO Sunindo Graha Utama,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4219,2,3032,XXX,XXX,JO CITRALAND MANADO,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4221,2,2076,XXX,XXX,PT. GRIYA MEKARASRI,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4222,2,4063,XXX,XXX,JO Ciputra Sunindo Prima Utama,NULL,1,SYSTEM,NULL,NULL,NULL,"Jl. Laksda Adi Sucipto km.7, Yogyakarta",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4224,2,44,XXX,XXX,PT. TAMAN DAYU,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4228,2,43,XXX,XXX,JO Ciputra Surya Sidoarjo Permai (JOCSSP),NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4229,2,46,XXX,XXX,JO CIPUTRA KARYA MAKMUR,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5233,2,9,XXX,XXX,PT. TUMBUHSEMANGAT NIAGACEMERLANG,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5238,2,47,XXX,XXX,PT. GRAHA PELITA INDAH,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6240,2,5101,XXX,XXX,JO Ciputra Mentari Propertindo,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6244,2,5103,XXX,XXX,JO CIPUTRA KARYA PANCASAKTI NUSANTARA,NULL,1,SYSTEM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
